"pathway","pval","padj","log2err","ES","NES","size","adjPvalue"
"HALLMARK_DNA_REPAIR",0.226310981236988,0.365017711672561,0.249246554383295,0.22132842887257,1.08156474416275,149,"non-significant"
"HALLMARK_FATTY_ACID_METABOLISM",0.21998070880652,0.365017711672561,0.249246554383295,0.224284931734903,1.09601227482208,149,"non-significant"
"HALLMARK_HEDGEHOG_SIGNALING",0.219707057256991,0.365017711672561,0.102821842840815,-0.400865358826899,-1.19999949920664,34,"non-significant"
"HALLMARK_HYPOXIA",0.198392153136189,0.365017711672561,0.249246554383295,0.215790800332325,1.06482212916794,193,"non-significant"
"HALLMARK_MYOGENESIS",0.221627408993576,0.365017711672561,0.0894366833718621,-0.294459584450223,-1.12119143429271,180,"non-significant"
"HALLMARK_UV_RESPONSE_DN",0.204275590156566,0.365017711672561,0.249246554383295,0.236305129765982,1.1460689888939,143,"non-significant"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.260257913247362,0.406652989449004,0.0855356947987884,-0.318579587731838,-1.13061640206789,96,"non-significant"
"HALLMARK_INFLAMMATORY_RESPONSE",0.354700854700855,0.537425537425537,0.0647943366000727,-0.279017215718405,-1.06214959922032,177,"non-significant"
"HALLMARK_APICAL_SURFACE",0.398701298701299,0.544168329403229,0.0686325631836726,-0.338029286767897,-1.04771963612979,42,"non-significant"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.396791443850267,0.544168329403229,0.059476028695732,-0.272033842003214,-1.03998971041404,190,"non-significant"
"HALLMARK_MYC_TARGETS_V2",0.387096774193548,0.544168329403229,0.0678338263479455,-0.318837753990639,-1.05036222419284,58,"non-significant"
"HALLMARK_PEROXISOME",0.402684563758389,0.544168329403229,0.181383128498408,0.226171570978273,1.0276928418887,96,"non-significant"
"HALLMARK_ANGIOGENESIS",0.446666666666667,0.566642030056664,0.064358336791736,-0.344522958348373,-1.02491577220935,32,"non-significant"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.435294117647059,0.566642030056664,0.0551351763385257,-0.267598854246684,-1.02246086584306,191,"non-significant"
"HALLMARK_MTORC1_SIGNALING",0.462686567164179,0.566642030056664,0.257206466468838,0.205244433797813,1.01977354574926,197,"non-significant"
"HALLMARK_TGF_BETA_SIGNALING",0.464646464646465,0.566642030056664,0.143758989039275,0.254848467341642,1.02464756390803,53,"non-significant"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.492753623188406,0.586611456176674,0.245041785430996,0.200326276355568,0.988512261823555,193,"non-significant"
"HALLMARK_IL2_STAT5_SIGNALING",0.546524064171123,0.635493097873399,0.0446854397644147,-0.253902858097072,-0.970130222944243,191,"non-significant"
"HALLMARK_PANCREAS_BETA_CELLS",0.585926928281461,0.665826054865297,0.0522693317499306,-0.313162286164378,-0.927538842207869,33,"non-significant"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.636363636363636,0.707070707070707,0.151148761385484,0.205196913291837,0.935696934325425,101,"non-significant"
"HALLMARK_COMPLEMENT",0.698717948717949,0.746396705559369,0.0332359307785383,-0.236139305026236,-0.898923987711617,177,"non-significant"
"HALLMARK_NOTCH_SIGNALING",0.701612903225806,0.746396705559369,0.0437125833579551,-0.279276632605727,-0.826195499456733,31,"non-significant"
"HALLMARK_APICAL_JUNCTION",0.781818181818182,0.81439393939394,0.0277292221875017,-0.225508509304749,-0.861639061676095,191,"non-significant"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.91948051948052,0.938245428041346,0.0293519190331994,-0.221846228613674,-0.687610982297759,42,"non-significant"
"HALLMARK_MYC_TARGETS_V1",1,1,0.0119234526278759,-0.113359101742359,-0.434940903108392,199,"non-significant"
